Date,USNGIndustrialPriceUSDcuft
Jan-2001,8.84
Feb-2001,7.21
Mar-2001,6.3
Apr-2001,6.08
May-2001,5.46
Jun-2001,4.75
Jul-2001,4.1
Aug-2001,3.99
Sep-2001,3.5
Oct-2001,3.18
Nov-2001,3.88
Dec-2001,3.69
Jan-2002,4.05
Feb-2002,3.7
Mar-2002,3.78
Apr-2002,3.64
May-2002,4.07
Jun-2002,3.86
Jul-2002,3.8
Aug-2002,3.62
Sep-2002,3.89
Oct-2002,4.18
Nov-2002,4.72
Dec-2002,4.92
Jan-2003,5.65
Feb-2003,6.4
Mar-2003,8.27
Apr-2003,5.96
May-2003,5.78
Jun-2003,6.59
Jul-2003,5.69
Aug-2003,5.28
Sep-2003,5.32
Oct-2003,4.93
Nov-2003,5.19
Dec-2003,5.9
Jan-2004,6.72
Feb-2004,6.52
Mar-2004,5.97
Apr-2004,6.06
May-2004,6.34
Jun-2004,6.82
Jul-2004,6.41
Aug-2004,6.36
Sep-2004,5.68
Oct-2004,6.03
Nov-2004,7.64
Dec-2004,7.54
Jan-2005,7.06
Feb-2005,7.15
Mar-2005,7.12
Apr-2005,7.71
May-2005,7.19
Jun-2005,6.91
Jul-2005,7.4
Aug-2005,7.98
Sep-2005,10.18
Oct-2005,12.06
Nov-2005,12.11
Dec-2005,11.17
Jan-2006,10.85
Feb-2006,9.38
Mar-2006,8.24
Apr-2006,7.93
May-2006,7.63
Jun-2006,6.92
Jul-2006,6.78
Aug-2006,7.36
Sep-2006,7.21
Oct-2006,5.62
Nov-2006,7.74
Dec-2006,8.23
Jan-2007,7.36
Feb-2007,8.25
Mar-2007,8.42
Apr-2007,8.14
May-2007,8.11
Jun-2007,7.92
Jul-2007,7.51
Aug-2007,6.72
Sep-2007,6.28
Oct-2007,7.06
Nov-2007,7.87
Dec-2007,8.18
Jan-2008,8.29
Feb-2008,8.96
Mar-2008,9.61
Apr-2008,10.03
May-2008,11.35
Jun-2008,12.11
Jul-2008,13.06
Aug-2008,10.1
Sep-2008,9.13
Oct-2008,8.1
Nov-2008,7.34
Dec-2008,7.86
Jan-2009,7.5
Feb-2009,6.43
Mar-2009,5.69
Apr-2009,5.05
May-2009,4.4
Jun-2009,4.56
Jul-2009,4.68
Aug-2009,4.38
Sep-2009,3.89
Oct-2009,4.82
Nov-2009,5.44
Dec-2009,5.97
Jan-2010,6.93
Feb-2010,6.76
Mar-2010,6.01
Apr-2010,5.12
May-2010,5.08
Jun-2010,5.04
Jul-2010,5.49
Aug-2010,5.37
Sep-2010,4.61
Oct-2010,4.73
Nov-2010,4.6
Dec-2010,5.5
Jan-2011,5.66
Feb-2011,5.77
Mar-2011,5.21
Apr-2011,5.34
May-2011,5.21
Jun-2011,5.21
Jul-2011,5.05
Aug-2011,5.21
Sep-2011,4.84
Oct-2011,4.71
Nov-2011,4.64
Dec-2011,4.59
Jan-2012,4.58
Feb-2012,4.19
Mar-2012,3.71
Apr-2012,3.21
May-2012,3.02
Jun-2012,3.34
Jul-2012,3.6
Aug-2012,3.83
Sep-2012,3.56
Oct-2012,3.94
Nov-2012,4.46
Dec-2012,4.73
Jan-2013,4.58
Feb-2013,4.54
Mar-2013,4.59
Apr-2013,4.95
May-2013,5
Jun-2013,4.9
Jul-2013,4.47
Aug-2013,4.31
Sep-2013,4.36
Oct-2013,4.36
Nov-2013,4.62
Dec-2013,4.97
Jan-2014,5.69
Feb-2014,6.63
Mar-2014,6.47
Apr-2014,5.85
May-2014,5.74
Jun-2014,5.46
Jul-2014,5.43
Aug-2014,4.96
Sep-2014,5.02
Oct-2014,5.03
Nov-2014,5.02
Dec-2014,5.62
Jan-2015,4.9
Feb-2015,4.74
Mar-2015,4.46
Apr-2015,3.96
May-2015,3.58
Jun-2015,3.76
Jul-2015,3.74
Aug-2015,3.79
Sep-2015,3.65
Oct-2015,3.54
Nov-2015,3.28
Dec-2015,3.48
Jan-2016,3.62
Feb-2016,3.58
Mar-2016,3.02
Apr-2016,3
May-2016,2.9
Jun-2016,2.89
Jul-2016,3.57
Aug-2016,3.59
Sep-2016,3.74
Oct-2016,3.87
Nov-2016,3.86
Dec-2016,4.27
Jan-2017,4.85
Feb-2017,4.53
Mar-2017,3.92
Apr-2017,4.11
May-2017,4.02
Jun-2017,4.05
Jul-2017,3.92
Aug-2017,3.78
Sep-2017,3.83
Oct-2017,3.78
Nov-2017,3.84
Dec-2017,4.19
Jan-2018,4.46
Feb-2018,4.85
Mar-2018,4
Apr-2018,3.89
May-2018,3.8
Jun-2018,3.77
Jul-2018,3.75
Aug-2018,3.67
Sep-2018,3.75
Oct-2018,4.03
Nov-2018,4.51
Dec-2018,5.47
Jan-2019,5.02
Feb-2019,4.62
Mar-2019,4.31
Apr-2019,3.99
May-2019,3.64
Jun-2019,3.54
Jul-2019,3.34
Aug-2019,3.2
Sep-2019,3.34
Oct-2019,3.42
Nov-2019,3.86
Dec-2019,3.88
Jan-2020,3.66
Feb-2020,3.54
Mar-2020,3.34
Apr-2020,2.96
May-2020,2.86
Jun-2020,2.72
Jul-2020,2.55
Aug-2020,2.92
Sep-2020,3.16
Oct-2020,3.25
Nov-2020,3.93
Dec-2020,4.07
Jan-2021,4.04
Feb-2021,9.43