Period,Residential,Commercial,Industrial,Transportation,All Sectors
Annual Totals,,,,,
2011,11.72,10.24,6.82,10.46,9.90
2012,11.88,10.09,6.67,10.21,9.84
2013,12.13,10.26,6.89,10.55,10.07
2014,12.52,10.74,7.10,10.45,10.44
2015,12.65,10.64,6.91,10.09,10.41
2016,12.55,10.43,6.76,9.63,10.27
2017,12.89,10.66,6.88,9.68,10.48
2018,12.87,10.67,6.92,9.70,10.53
2019,13.01,10.68,6.81,9.66,10.54
2020,13.20,10.65,6.66,9.90,10.66
Year 2019,,,,,
January,12.47,10.30,6.58,9.83,10.24
February,12.72,10.54,6.69,10.02,10.40
March,12.84,10.46,6.73,9.25,10.34
April,13.25,10.52,6.51,9.45,10.24
May,13.31,10.54,6.69,9.46,10.38
June,13.32,10.90,6.87,10.01,10.74
July,13.26,11.02,7.14,9.82,11.00
August,13.30,11.02,7.40,9.65,11.05
Sept,13.16,10.96,7.06,9.78,10.82
October,12.81,10.74,6.84,9.72,10.39
November,13.03,10.57,6.72,9.52,10.38
December,12.68,10.32,6.38,9.46,10.22
Year 2020,,,,,
January,12.79,10.23,6.34,9.67,10.28
February,12.85,10.36,6.41,9.45,10.29
March,13.08,10.41,6.38,9.82,10.29
April,13.28,10.42,6.40,9.63,10.41
May,13.15,10.45,6.53,9.34,10.47
June,13.27,10.95,6.93,10.53,10.96
July,13.25,10.90,7.17,10.24,11.14
August,13.31,10.95,7.07,10.25,11.10
Sept,13.54,11.07,7.01,10.34,11.07
October,13.70,10.79,6.71,9.88,10.73
November,13.35,10.59,6.48,9.89,10.45
December,12.80,10.48,6.40,9.81,10.44
Year 2021,,,,,
January,12.69,10.31,6.35,9.64,10.35
February,13.34,11.93,8.15,9.93,11.60
Year to Date,,,,,
2019,12.58,10.42,6.63,9.92,10.32
2020,12.82,10.29,6.37,9.56,10.29
2021,13.00,11.09,7.22,9.79,10.95
Rolling 12 Months Ending in February,,,,,
2020,13.06,10.66,6.77,9.60,10.54
2021,13.22,10.78,6.80,9.95,10.77